230: ('LOAD_DEREF', 'CALL_FUNCTION')
229: ('POP_TOP', 'LOAD_NAME')
229: ('JUMP_FORWARD', 'SETUP_FINALLY')
229: ('JUMP_IF_FALSE_OR_POP', 'RETURN_VALUE')
229: ('FORMAT_VALUE', 'LOAD_CONST')
228: ('LOAD_GLOBAL', 'JUMP_IF_NOT_EXC_MATCH')
226: ('LOAD_FAST', 'UNARY_INVERT')
221: ('UNARY_INVERT', 'BINARY_AND')
221: ('BINARY_AND', 'RETURN_VALUE')
221: ('FOR_ITER', 'EXTENDED_ARG')
221: ('LOAD_ATTR', 'SETUP_WITH')
221: ('LOAD_FAST', 'DUP_TOP')
220: ('CALL_METHOD', 'CONTAINS_OP')
215: ('BINARY_MULTIPLY', 'CALL_FUNCTION')
213: ('MAKE_FUNCTION', 'CALL_FUNCTION')
212: ('UNARY_NOT', 'STORE_FAST')
212: ('BINARY_AND', 'UNARY_NOT')
212: ('CALL_FUNCTION_EX', 'RETURN_VALUE')
210: ('BINARY_SUBSCR', 'BINARY_MULTIPLY')
206: ('LOAD_DEREF', 'LOAD_CONST')
204: ('LOAD_FAST', 'BUILD_MAP')
200: ('LOAD_ATTR', 'STORE_SUBSCR')
192: ('BINARY_ADD', 'LOAD_CONST')
188: ('POP_BLOCK', 'ROT_TWO')
186: ('LOAD_NAME', 'CALL_METHOD')
186: ('LOAD_GLOBAL', 'LOAD_CLOSURE')
182: ('LOAD_ATTR', 'STORE_GLOBAL')
180: ('STORE_SUBSCR', 'BUILD_LIST')
179: ('BUILD_TUPLE', 'BUILD_LIST')
179: ('CALL_FUNCTION', 'JUMP_IF_TRUE_OR_POP')
178: ('POP_EXCEPT', 'JUMP_FORWARD')
177: ('STORE_SUBSCR', 'POP_BLOCK')
174: ('LOAD_FAST', 'IS_OP')
174: ('LIST_EXTEND', 'BUILD_TUPLE')
172: ('CALL_FUNCTION', 'POP_BLOCK')
172: ('LOAD_DEREF', 'LOAD_METHOD')
170: ('FOR_ITER', 'BUILD_LIST')
169: ('IMPORT_FROM', 'STORE_NAME')
168: ('LIST_EXTEND', 'BUILD_LIST')
166: ('LOAD_CLOSURE', 'LOAD_CLOSURE')
162: ('COMPARE_OP', 'RETURN_VALUE')
160: ('ROT_TWO', 'LOAD_CONST')
156: ('LIST_EXTEND', 'LIST_TO_TUPLE')
154: ('CALL_FUNCTION_EX', 'STORE_FAST')
151: ('BUILD_LIST', 'CALL_METHOD')
146: ('BINARY_MODULO', 'STORE_FAST')
146: ('BINARY_SUBSCR', 'INPLACE_ADD')
145: ('FORMAT_VALUE', 'BUILD_STRING')
143: ('LOAD_FAST', 'LIST_EXTEND')
143: ('EXTENDED_ARG', 'LOAD_CONST')
138: ('LOAD_FAST', 'MAP_ADD')
137: ('CALL_FUNCTION_EX', 'LOAD_FAST')
136: ('BUILD_MAP', 'CALL_METHOD')
136: ('LOAD_DEREF', 'LOAD_ATTR')
135: ('<0>', 'SETUP_FINALLY')
134: ('LOAD_GLOBAL', 'GET_ITER')
133: ('BINARY_SUBSCR', 'LOAD_DEREF')
133: ('CALL_METHOD', 'YIELD_VALUE')
132: ('BINARY_AND', 'COMPARE_OP')
132: ('FOR_ITER', 'BUILD_MAP')
132: ('LOAD_FAST', 'JUMP_FORWARD')
128: ('POP_TOP', 'JUMP_IF_FALSE_OR_POP')
128: ('JUMP_IF_FALSE_OR_POP', 'ROT_TWO')
127: ('COMPARE_OP', 'JUMP_FORWARD')
127: ('JUMP_FORWARD', 'JUMP_IF_FALSE_OR_POP')
127: ('JUMP_IF_FALSE_OR_POP', 'LOAD_CONST')
123: ('LOAD_FAST', 'POP_BLOCK')
121: ('POP_JUMP_IF_FALSE', 'POP_BLOCK')
121: ('POP_JUMP_IF_FALSE', 'LOAD_CLOSURE')
120: ('BINARY_MODULO', 'CALL_FUNCTION')
120: ('CALL_FUNCTION', 'BUILD_LIST')
120: ('LOAD_DEREF', 'POP_JUMP_IF_FALSE')
119: ('LOAD_CONST', 'BUILD_STRING')
119: ('CALL_FUNCTION', 'COMPARE_OP')
115: ('BINARY_AND', 'LOAD_FAST')
115: ('LOAD_ATTR', 'POP_JUMP_IF_TRUE')
115: ('STORE_FAST', 'POP_EXCEPT')
112: ('POP_TOP', 'POP_EXCEPT')
111: ('SETUP_FINALLY', 'SETUP_FINALLY')
110: ('BINARY_ADD', 'STORE_SUBSCR')
110: ('INPLACE_SUBTRACT', 'ROT_TWO')
110: ('DELETE_SUBSCR', 'LOAD_CONST')
110: ('LOAD_CONST', 'INPLACE_SUBTRACT')
109: ('BUILD_STRING', 'LOAD_FAST')
108: ('IMPORT_NAME', 'IMPORT_FROM')
107: ('STORE_NAME', 'POP_TOP')
106: ('STORE_DEREF', 'LOAD_DEREF')
100: ('BINARY_AND', 'LOAD_CONST')
99: ('DELETE_SUBSCR', 'POP_BLOCK')
99: ('POP_JUMP_IF_TRUE', 'LOAD_DEREF')
90: ('BUILD_CONST_KEY_MAP', 'STORE_FAST')
89: ('LIST_TO_TUPLE', 'CALL_FUNCTION_EX')
89: ('FOR_ITER', 'POP_BLOCK')
88: ('IS_OP', 'POP_JUMP_IF_TRUE')
87: ('LOAD_CONST', 'LOAD_DEREF')
85: ('UNARY_NOT', 'CALL_FUNCTION')
84: ('BUILD_TUPLE', 'GET_ITER')
82: ('LOAD_ATTR', 'BUILD_LIST')
82: ('LOAD_DEREF', 'BUILD_TUPLE')
