15395: ('LOAD_DEREF', 'RETURN_VALUE')
15081: ('STORE_DEREF', 'LOAD_DEREF')
14954: ('BINARY_SUBTRACT', 'LOAD_FAST')
14883: ('DUP_TOP', 'LOAD_FAST')
14388: ('BINARY_SUBSCR', 'CALL_METHOD')
14155: ('BINARY_ADD', 'BINARY_SUBSCR')
14055: ('LOAD_ATTR', 'EXTENDED_ARG')
14008: ('BINARY_SUBTRACT', 'STORE_FAST')
13976: ('LOAD_CONST', 'LOAD_DEREF')
13935: ('STORE_ATTR', 'JUMP_ABSOLUTE')
13835: ('DELETE_FAST', 'RERAISE')
13355: ('LOAD_FAST', 'ROT_FOUR')
13241: ('LOAD_GLOBAL', 'STORE_FAST')
13201: ('LOAD_GLOBAL', 'BINARY_AND')
13135: ('CONTAINS_OP', 'JUMP_IF_TRUE_OR_POP')
12926: ('LOAD_FAST', 'INPLACE_ADD')
12762: ('BINARY_ADD', 'BUILD_LIST')
12742: ('COMPARE_OP', 'YIELD_VALUE')
12645: ('RAISE_VARARGS', 'LOAD_CONST')
12638: ('EXTENDED_ARG', 'SETUP_FINALLY')
12168: ('LOAD_CONST', 'BUILD_TUPLE')
11605: ('BUILD_TUPLE', 'BUILD_TUPLE')
11432: ('BINARY_SUBSCR', 'GET_ITER')
11418: ('COMPARE_OP', 'JUMP_IF_TRUE_OR_POP')
11360: ('DUP_TOP_TWO', 'BINARY_SUBSCR')
11338: ('BUILD_SET', 'LOAD_CONST')
11337: ('LOAD_CONST', 'SET_UPDATE')
11317: ('JUMP_FORWARD', 'SETUP_FINALLY')
11300: ('SET_UPDATE', 'STORE_FAST')
11197: ('STORE_NAME', 'LOAD_CONST')
11155: ('CALL_FUNCTION_KW', 'DUP_TOP')
11130: ('ROT_THREE', 'STORE_SUBSCR')
11130: ('INPLACE_ADD', 'ROT_THREE')
10951: ('CALL_METHOD', 'IS_OP')
10805: ('JUMP_IF_TRUE_OR_POP', 'GET_YIELD_FROM_ITER')
10617: ('CONTAINS_OP', 'POP_JUMP_IF_TRUE')
10380: ('LOAD_FAST', 'DELETE_SUBSCR')
10273: ('LOAD_FAST', 'DUP_TOP')
10256: ('EXTENDED_ARG', 'JUMP_IF_FALSE_OR_POP')
9991: ('BUILD_SET', 'LOAD_FAST')
9888: ('JUMP_IF_TRUE_OR_POP', 'STORE_FAST')
9888: ('CONTAINS_OP', 'STORE_FAST')
9637: ('CALL_FUNCTION', 'UNARY_NOT')
9235: ('JUMP_IF_FALSE_OR_POP', 'LOAD_CONST')
9219: ('STORE_SUBSCR', 'SETUP_FINALLY')
9044: ('STORE_ATTR', 'STORE_FAST')
9039: ('COMPARE_OP', 'STORE_FAST')
8849: ('LOAD_CONST', 'STORE_SUBSCR')
8811: ('LOAD_GLOBAL', 'GET_ITER')
8782: ('IS_OP', 'JUMP_IF_FALSE_OR_POP')
8743: ('STORE_FAST', 'BUILD_MAP')
8625: ('JUMP_IF_TRUE_OR_POP', 'CALL_FUNCTION')
8563: ('ROT_TWO', 'STORE_ATTR')
8563: ('DUP_TOP', 'LOAD_ATTR')
8453: ('LOAD_ATTR', 'POP_BLOCK')
8237: ('JUMP_IF_TRUE_OR_POP', 'RETURN_VALUE')
8227: ('POP_JUMP_IF_FALSE', 'BUILD_MAP')
8225: ('STORE_FAST', 'POP_EXCEPT')
8158: ('POP_JUMP_IF_TRUE', 'JUMP_ABSOLUTE')
8083: ('UNARY_NOT', 'JUMP_IF_FALSE_OR_POP')
8075: ('JUMP_ABSOLUTE', 'SETUP_FINALLY')
8031: ('LOAD_FAST', 'UNPACK_SEQUENCE')
7987: ('BINARY_SUBSCR', 'UNPACK_SEQUENCE')
7749: ('BUILD_TUPLE', 'STORE_SUBSCR')
7530: ('LOAD_DEREF', 'BUILD_TUPLE')
7518: ('POP_JUMP_IF_TRUE', 'FOR_ITER')
7515: ('CALL_FUNCTION', 'LIST_APPEND')
7485: ('POP_JUMP_IF_TRUE', 'LOAD_CLOSURE')
7440: ('CALL_METHOD', 'ROT_FOUR')
7416: ('BUILD_SET', 'GET_ITER')
7341: ('BINARY_ADD', 'LOAD_CONST')
7320: ('JUMP_IF_FALSE_OR_POP', 'STORE_FAST')
7205: ('POP_JUMP_IF_FALSE', 'EXTENDED_ARG')
7145: ('CALL_FUNCTION_KW', 'GET_YIELD_FROM_ITER')
7049: ('LOAD_ATTR', 'STORE_ATTR')
7013: ('LOAD_CONST', 'BINARY_MULTIPLY')
6994: ('FOR_ITER', 'STORE_DEREF')
6942: ('LOAD_FAST', 'RAISE_VARARGS')
6833: ('BINARY_SUBSCR', 'BUILD_TUPLE')
6817: ('INPLACE_ADD', 'ROT_TWO')
6694: ('CALL_FUNCTION', 'LOAD_DEREF')
6575: ('MAKE_FUNCTION', 'STORE_NAME')
6561: ('IS_OP', 'LOAD_CONST')
6446: ('CALL_METHOD', 'BINARY_ADD')
6427: ('BINARY_MULTIPLY', 'CALL_METHOD')
6380: ('LOAD_FAST', 'DUP_TOP_TWO')
6192: ('LOAD_ATTR', 'BUILD_LIST')
6032: ('JUMP_FORWARD', 'STORE_FAST')
5861: ('CALL_FUNCTION_EX', 'DUP_TOP')
