32436: ('BINARY_ADD', 'RETURN_VALUE')
26802: ('JUMP_ABSOLUTE', 'EXTENDED_ARG')
26711: ('LIST_TO_TUPLE', 'BUILD_MAP')
26698: ('BINARY_ADD', 'CALL_FUNCTION')
25976: ('CALL_METHOD', 'UNPACK_SEQUENCE')
25837: ('POP_TOP', 'EXTENDED_ARG')
25794: ('YIELD_FROM', 'POP_TOP')
25379: ('STORE_FAST', 'POP_EXCEPT')
23822: ('CALL_METHOD', 'BINARY_SUBSCR')
23297: ('LOAD_FAST', 'CALL_FUNCTION_EX')
22935: ('GET_ITER', 'EXTENDED_ARG')
22572: ('POP_JUMP_IF_FALSE', 'JUMP_FORWARD')
22458: ('LOAD_NAME', 'LOAD_NAME')
21415: ('LOAD_FAST', 'JUMP_FORWARD')
21228: ('CALL_METHOD', 'GET_AWAITABLE')
21149: ('MAKE_FUNCTION', 'STORE_NAME')
20767: ('CALL_FUNCTION', 'BINARY_ADD')
20629: ('BUILD_TUPLE', 'JUMP_IF_NOT_EXC_MATCH')
20416: ('MAKE_FUNCTION', 'LOAD_DEREF')
20367: ('JUMP_IF_TRUE_OR_POP', 'CALL_FUNCTION')
20330: ('LOAD_DEREF', 'STORE_ATTR')
20262: ('LOAD_CONST', 'RAISE_VARARGS')
20078: ('SET_ADD', 'JUMP_ABSOLUTE')
19785: ('BINARY_SUBTRACT', 'CALL_FUNCTION')
19525: ('POP_JUMP_IF_FALSE', 'BUILD_LIST')
19352: ('BUILD_LIST', 'CALL_METHOD')
18542: ('CALL_METHOD', 'COMPARE_OP')
18153: ('STORE_ATTR', 'JUMP_FORWARD')
17787: ('LOAD_GLOBAL', 'BINARY_AND')
17569: ('STORE_NAME', 'LOAD_NAME')
17368: ('BINARY_MODULO', 'LOAD_CONST')
17170: ('BINARY_SUBTRACT', 'RETURN_VALUE')
17147: ('BINARY_SUBSCR', 'STORE_DEREF')
17060: ('IS_OP', 'JUMP_IF_TRUE_OR_POP')
16856: ('CALL_FUNCTION', 'GET_AWAITABLE')
16850: ('LIST_TO_TUPLE', 'LOAD_FAST')
