54: ('SETUP_FINALLY', 'LOAD_CONST')
53: ('UNPACK_SEQUENCE', 'STORE_DEREF')
53: ('LOAD_CONST', 'BINARY_MULTIPLY')
52: ('BINARY_SUBSCR', 'GET_ITER')
52: ('LOAD_CONST', 'DELETE_SUBSCR')
51: ('DUP_TOP', 'STORE_NAME')
51: ('BINARY_SUBTRACT', 'CALL_FUNCTION')
51: ('POP_BLOCK', 'JUMP_ABSOLUTE')
51: ('LOAD_CONST', 'BUILD_TUPLE')
50: ('BINARY_ADD', 'BUILD_TUPLE')
50: ('STORE_DEREF', 'LOAD_GLOBAL')
50: ('STORE_DEREF', 'STORE_FAST')
50: ('LOAD_METHOD', 'LOAD_CLOSURE')
49: ('BINARY_ADD', 'RETURN_VALUE')
49: ('LOAD_FAST', 'UNARY_NOT')
48: ('POP_JUMP_IF_FALSE', 'JUMP_FORWARD')
48: ('LOAD_DEREF', 'BINARY_SUBTRACT')
48: ('CALL_FUNCTION_KW', 'STORE_NAME')
47: ('BINARY_MODULO', 'INPLACE_ADD')
47: ('STORE_ATTR', 'BUILD_LIST')
47: ('LIST_EXTEND', 'STORE_NAME')
46: ('LOAD_ATTR', 'LOAD_NAME')
46: ('LOAD_DEREF', 'STORE_ATTR')
45: ('BINARY_SUBSCR', 'BINARY_SUBSCR')
45: ('LOAD_GLOBAL', 'POP_JUMP_IF_FALSE')
45: ('LOAD_FAST', 'YIELD_VALUE')
45: ('CALL_METHOD', 'BUILD_TUPLE')
44: ('STORE_NAME', 'BUILD_LIST')
44: ('POP_JUMP_IF_TRUE', 'FOR_ITER')
42: ('STORE_FAST', 'POP_TOP')
41: ('POP_EXCEPT', 'JUMP_ABSOLUTE')
41: ('CALL_METHOD', 'LOAD_METHOD')
40: ('BINARY_SUBTRACT', 'LOAD_CONST')
40: ('BUILD_TUPLE', 'LOAD_NAME')
40: ('CALL_METHOD', 'BINARY_SUBSCR')
39: ('ROT_FOUR', 'POP_EXCEPT')
39: ('POP_EXCEPT', 'RETURN_VALUE')
39: ('BUILD_TUPLE', 'JUMP_IF_NOT_EXC_MATCH')
39: ('CALL_FUNCTION', 'YIELD_VALUE')
38: ('POP_TOP', 'BUILD_LIST')
38: ('LOAD_CONST', 'RAISE_VARARGS')
38: ('BUILD_LIST', 'STORE_NAME')
38: ('LOAD_ATTR', 'STORE_ATTR')
38: ('LOAD_FAST', 'ROT_FOUR')
38: ('FORMAT_VALUE', 'BUILD_STRING')
37: ('UNARY_NOT', 'JUMP_IF_TRUE_OR_POP')
37: ('FOR_ITER', 'POP_BLOCK')
